NaCl_Percent,Target_Temp,Rep,Mercury_Temp,Temp_M01,EC_M01,Temp_M02,EC_M02
0.4,30,1,32,3164,579,3169,591
0.4,30,2,31,3190,581,3148,591
0.4,30,3,32,3177,579,2881,577
0.4,30,4,31,3153,576,3130,588
0.4,30,5,31,3050,575,3027,519
0.4,40,1,39,-,-,3880,614
0.4,40,2,39,-,-,3862,645
0.4,40,3,39,-,-,3769,646
0.4,40,4,39,-,-,3375,647
0.4,40,5,39,-,-,3585,626
0.4,50,1,50,-,-,5037,738
0.4,50,2,51,-,-,4955,739
0.4,50,3,50,-,-,5041,740
0.4,50,4,50,-,-,5037,706
0.4,50,5,50,-,-,4921,738
0.4,60,1,61,-,-,6152,835
0.4,60,2,62,-,-,6219,832
0.4,60,3,62,-,-,6169,835
0.4,60,4,62,-,-,6146,831
0.4,60,5,62,-,-,6191,828
0.4,70,1,74,-,-,7208,941
0.4,70,2,74,-,-,7380,934
0.4,70,3,74,-,-,7423,930
0.4,70,4,73,-,-,7297,932
0.4,70,5,73,-,-,7338,933
0.4,80,1,79,-,-,7009,970
0.4,80,2,79,-,-,7431,978
0.4,80,3,79,-,-,7099,943
0.4,80,4,78,-,-,7749,990
0.4,80,5,78,-,-,6753,939
0.5,25,1,25,2516,567,2478,520
0.5,25,2,25,2456,524,2442,562
0.5,25,3,24,2410,517,2449,589
0.5,25,4,24,2424,523,2401,592
0.5,25,5,24,2389,518,2415,590
0.5,30,1,31,2994,585,2969,647
0.5,30,2,31,3060,582,3037,645
0.5,30,3,31,3099,591,3055,658
0.5,30,4,31,3107,580,3035,654
0.5,30,5,31,3043,586,3009,648
0.5,40,1,41,-,-,3695,780
0.5,40,2,40,-,-,3915,750
0.5,40,3,41,-,-,3786,751
0.5,40,4,41,-,-,3842,750
0.5,40,5,41,-,-,3933,743
0.5,50,1,50,-,-,4816,831
0.5,50,2,50,-,-,4274,827
0.5,50,3,50,-,-,4287,826
0.5,50,4,50,-,-,4600,829
0.5,50,5,50,-,-,4554,822
0.5,60,1,62,-,-,5927,942
0.5,60,2,63,-,-,5850,934
0.5,60,3,63,-,-,5906,936
0.5,60,4,62,-,-,5805,932
0.5,60,5,61,-,-,5891,927
0.5,70,1,73,-,-,7001,1024
0.5,70,2,74,-,-,7031,1038
0.5,70,3,74,-,-,7076,1037
0.5,70,4,74,-,-,7153,1024
0.5,70,5,74,-,-,7177,1035
0.5,80,1,81,-,-,7527,1109
0.5,80,2,82,-,-,7787,1079
0.5,80,3,82,-,-,7645,1090
0.5,80,4,83,-,-,7787,1106
0.5,80,5,83,-,-,7749,1111
0.6,25,1,24,2401,587,2357,665
0.6,25,2,24,2317,583,2389,668
0.6,25,3,24,2377,587,2357,667
0.6,25,4,24,2379,573,2345,658
0.6,25,5,23,2374,578,2381,663
0.6,30,1,30,2888,699,3002,728
0.6,30,2,30,3032,714,3007,734
0.6,30,3,31,3066,709,2883,744
0.6,30,4,31,3130,724,3083,737
0.6,30,5,31,3161,737,3094,744
0.6,40,1,40,3725,794,3546,832
0.6,40,2,39,3945,802,3599,834
0.6,40,3,39,3942,808,3568,834
0.6,40,4,39,3862,768,3610,823
0.6,40,5,41,-,-,3613,876
0.6,50,1,52,-,-,4688,948
0.6,50,2,52,-,-,4948,947
0.6,50,3,52,-,-,5077,953
0.6,50,4,52,-,-,5065,944
0.6,50,5,53,-,-,5018,952
0.6,60,1,60,-,-,5538,1052
0.6,60,2,62,-,-,5678,889
0.6,60,3,63,-,-,5865,1045
0.6,60,4,62,-,-,5683,1063
0.6,60,5,62,-,-,5673,1047
0.6,70,1,72,-,-,6288,1125
0.6,70,2,72,-,-,7107,1104
0.6,70,3,72,-,-,6787,1117
0.6,70,4,72,-,-,7024,1123
0.6,70,5,72,-,-,7001,1121
0.6,80,1,87,-,-,8308,1225
0.6,80,2,87,-,-,8160,1251
0.6,80,3,87,-,-,8379,1265
0.6,80,4,87,-,-,8182,1262
0.6,80,5,87,-,-,8182,1237
0.7,25,1,24,2422,653,2434,736
0.7,25,2,24,2305,653,2434,735
0.7,25,3,24,2398,640,2442,728
0.7,25,4,24,2381,638,2442,693
0.7,25,5,24,2309,643,2439,733
0.7,30,1,31,3045,710,3107,808
0.7,30,2,31,3070,729,3089,815
0.7,30,3,31,3068,728,3060,813
0.7,30,4,31,3050,704,3060,805
0.7,30,5,31,2966,709,3030,802
0.7,40,1,41,-,-,3895,832
0.7,40,2,41,-,-,4008,927
0.7,40,3,41,-,-,4030,926
0.7,40,4,41,-,-,4012,922
0.7,40,5,41,-,-,3963,924
0.7,50,1,51,-,-,4963,1042
0.7,50,2,52,-,-,4990,903
0.7,50,3,51,-,-,5029,1033
0.7,50,4,51,-,-,4834,1034
0.7,50,5,52,-,-,5129,1023
0.7,60,1,60,-,-,5974,1099
0.7,60,2,60,-,-,5953,1104
